"Finca Felicia y Francisco, Turrialba"
"5/27/22 11:00 PM : 1 Year"
"","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway"
"5/29/22 11:30 PM","29.82","71","76","63","72","14.7","66","66","66","97","65","65","0","","0.0","2","SSE","66","68","68","65","0.01","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.017"
"5/30/22 12:00 AM","29.82","71","76","63","72","14.7","65","66","65","98","65","65","0","","0.0","4","NE","65","67","67","65","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.004"
"5/30/22 12:30 AM","29.81","71","76","63","72","14.7","65","65","65","99","65","65","0","","0.0","2","NE","65","67","67","65","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.002"
"5/30/22 1:00 AM","29.80","70","76","63","71","14.7","65","65","65","99","65","65","0","","0.0","1","NE","65","67","67","65","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.000"
"5/30/22 1:30 AM","29.79","70","76","62","71","14.7","65","65","65","98","64","64","1","SSE","0.5","4","SSE","65","67","67","64","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.002","0.000"
"5/30/22 2:00 AM","29.78","70","76","62","71","14.7","65","65","65","98","65","65","0","","0.0","2","SSE","65","67","67","65","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.004"
"5/30/22 2:30 AM","29.78","70","76","62","71","14.7","65","65","65","97","64","65","1","SSE","0.5","2","SSE","65","67","67","65","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.006"
"5/30/22 3:00 AM","29.77","70","76","62","71","14.7","65","66","65","97","64","65","0","","0.0","3","SSE","65","67","67","65","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.004"
"5/30/22 3:30 AM","29.78","70","76","62","71","14.7","65","65","65","98","64","64","2","SSE","1.0","4","SSE","65","67","67","64","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.002","0.000"
"5/30/22 4:00 AM","29.78","70","76","62","71","14.7","65","65","65","98","64","64","1","W","0.5","4","W","65","66","66","64","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.008","0.000"
"5/30/22 4:30 AM","29.77","70","77","63","71","14.9","65","65","64","98","64","65","2","SE","1.0","5","SE","65","67","67","65","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.000"
"5/30/22 5:00 AM","29.77","70","76","62","71","14.7","64","65","64","98","64","64","0","","0.0","3","SE","64","66","66","64","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.010","0.000"
"5/30/22 5:30 AM","29.77","70","76","62","71","14.7","64","64","64","98","64","64","1","WNW","0.5","4","NW","64","66","66","64","0.00","0.00","4","0.17","14","0.00","0","0.0","0","0.017","0.000"
"5/30/22 6:00 AM","29.80","70","77","62","71","14.9","65","65","64","96","64","64","2","NNE","1.0","6","SSE","65","66","66","65","0.00","0.00","25","1.08","37","0.00","0","0.0","0","0.002","0.000"
"5/30/22 6:30 AM","29.81","70","77","63","72","14.9","67","67","65","94","65","65","3","S","1.5","7","SSE","67","68","68","69","0.00","0.00","60","2.58","84","0.00","0","0.0","0","0.000","0.035"
"5/30/22 7:00 AM","29.83","72","77","64","73","14.9","67","67","67","97","66","67","0","","0.0","2","SSE","67","70","70","72","0.00","0.00","107","4.60","132","0.00","0","0.0","0","0.000","0.048"
"5/30/22 7:30 AM","29.83","73","77","65","75","14.9","69","69","67","97","68","68","0","","0.0","2","SSE","69","71","71","75","0.00","0.00","160","6.88","195","0.00","0","0.0","0","0.000","0.075"
"5/30/22 8:00 AM","29.84","75","77","67","77","14.9","70","70","69","96","69","70","1","ESE","0.5","3","ESE","70","73","73","79","0.00","0.00","261","11.23","348","0.00","1","0.2","2","0.000","0.115"
"5/30/22 8:30 AM","29.84","77","77","69","80","14.9","72","72","70","90","69","70","1","NE","0.5","4","NE","72","74","74","82","0.00","0.00","358","15.40","506","0.00","2","0.5","4","0.000","0.146"
"5/30/22 9:00 AM","29.84","80","76","72","84","14.6","74","74","72","85","69","70","2","ENE","1.0","5","ENE","74","76","76","87","0.00","0.00","576","24.78","675","0.01","5","1.0","6","0.000","0.190"
"5/30/22 9:30 AM","29.83","82","74","73","88","13.9","77","77","74","84","72","73","2","NE","1.0","6","NNE","77","80","80","91","0.00","0.00","608","26.16","926","0.00","6","1.3","8","0.000","0.254"
"5/30/22 10:00 AM","29.82","85","73","75","93","13.6","78","79","77","85","74","75","3","NNE","1.5","7","NNE","78","83","83","94","0.00","0.00","861","37.04","1065","0.02","9","1.9","11","0.000","0.279"
"5/30/22 10:30 AM","29.81","86","67","74","94","12.0","78","79","78","79","71","73","4","NE","2.0","8","NNE","78","82","82","93","0.00","0.00","756","32.52","1025","0.00","9","2.0","11","0.000","0.277"
"5/30/22 11:00 AM","29.81","86","65","73","94","11.6","77","78","77","83","72","73","4","NE","2.0","10","ENE","77","80","80","90","0.00","0.00","560","24.09","659","0.02","7","1.6","8","0.000","0.254"
"5/30/22 11:30 AM","29.80","87","63","73","95","11.2","76","77","76","79","69","71","5","ENE","2.5","10","E","76","79","79","89","0.00","0.00","564","24.26","744","0.00","7","1.5","9","0.000","0.238"
"5/30/22 12:00 PM","29.79","88","61","73","97","10.8","77","78","76","80","71","72","5","NE","2.5","10","E","77","80","80","91","0.00","0.00","603","25.94","721","0.01","8","1.6","9","0.000","0.254"
"5/30/22 12:30 PM","29.78","89","60","73","97","10.6","77","78","77","83","72","73","4","NE","2.0","8","ENE","77","80","80","90","0.00","0.00","533","22.93","640","0.00","7","1.4","8","0.000","0.254"
"5/30/22 1:00 PM","29.77","89","59","73","97","10.5","77","78","77","80","70","72","3","NE","1.5","7","NNE","77","80","80","87","0.00","0.00","397","17.08","545","0.01","4","0.9","6","0.000","0.252"
"5/30/22 1:30 PM","29.76","88","59","72","94","10.5","76","77","76","82","70","71","4","NE","2.0","8","ENE","76","78","78","83","0.00","0.00","297","12.78","364","0.00","3","0.6","3","0.000","0.219"
"5/30/22 2:00 PM","29.76","87","62","72","94","11.0","74","76","74","84","69","70","3","ENE","1.5","9","E","74","76","76","80","0.00","0.00","209","8.99","313","0.01","1","0.3","2","0.000","0.185"
"5/30/22 2:30 PM","29.76","86","63","72","92","11.2","71","74","71","94","69","69","3","ESE","1.5","7","SE","71","73","73","75","0.04","0.12","141","6.07","155","0.00","0","0.0","0","0.000","0.117"
"5/30/22 3:00 PM","29.75","85","65","72","90","11.7","70","71","70","93","68","69","1","ESE","0.5","3","ESE","70","72","72","75","0.01","0.12","130","5.59","141","0.00","0","0.0","0","0.000","0.106"
"5/30/22 3:30 PM","29.75","83","65","70","88","11.7","70","70","70","97","69","69","0","","0.0","3","ESE","70","73","73","74","0.04","0.16","93","4.00","114","0.00","0","0.0","0","0.000","0.104"
"5/30/22 4:00 PM","29.75","82","66","69","85","11.9","69","70","69","98","69","69","1","NW","0.5","4","NW","69","72","72","74","0.02","0.12","88","3.79","93","0.00","0","0.0","0","0.000","0.087"
"5/30/22 4:30 PM","29.75","81","67","69","84","12.1","69","69","69","99","69","69","1","NW","0.5","4","NW","69","72","72","74","0.01","0.04","78","3.36","91","0.00","0","0.0","0","0.000","0.085"
"5/30/22 5:00 PM","29.75","80","67","68","83","12.1","69","69","69","99","69","69","0","","0.0","3","NW","69","72","72","73","0.01","0.00","57","2.45","65","0.00","0","0.0","0","0.000","0.085"
"5/30/22 5:30 PM","29.76","79","67","67","81","12.2","68","69","68","98","68","68","1","W","0.5","3","WNW","68","71","71","69","0.00","0.00","33","1.42","49","0.00","0","0.0","0","0.000","0.071"
"5/30/22 6:00 PM","29.76","78","68","67","80","12.4","68","69","68","98","67","67","1","NNE","0.5","6","WNW","68","70","70","68","0.00","0.00","3","0.13","14","0.00","0","0.0","0","0.000","0.056"
"5/30/22 6:30 PM","29.76","77","68","65","78","12.5","67","68","67","97","66","67","2","WNW","1.0","6","W","67","70","70","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.048"
"5/30/22 7:00 PM","29.77","76","68","64","77","12.5","67","68","67","98","67","67","1","SW","0.5","6","SW","67","70","70","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.050"
"5/30/22 7:30 PM","29.78","75","69","64","76","12.8","67","68","67","98","66","67","4","S","2.0","8","S","67","69","69","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.042"
"5/30/22 8:00 PM","29.79","74","70","64","76","13.0","68","68","67","94","66","66","3","SSW","1.5","7","SSW","68","70","70","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.056"
"5/30/22 8:30 PM","29.80","74","70","63","75","13.0","68","68","68","94","66","66","3","SSE","1.5","8","SSE","68","69","69","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.052"
"5/30/22 9:00 PM","29.82","73","70","63","74","13.0","66","68","66","97","65","65","1","SSE","0.5","3","SSE","66","68","68","66","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.023"
"5/30/22 9:30 PM","29.83","73","71","63","74","13.3","66","66","66","99","66","66","2","W","1.0","4","W","66","68","68","66","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.019"
"5/30/22 10:00 PM","29.83","73","71","63","74","13.3","66","66","66","99","66","66","2","WNW","1.0","5","SW","66","69","69","66","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.031"
"5/30/22 10:30 PM","29.83","73","72","64","74","13.6","67","67","66","97","66","66","3","SW","1.5","5","SW","67","69","69","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.042"
"5/30/22 11:00 PM","29.83","73","72","63","74","13.6","67","67","67","95","66","66","2","SW","1.0","5","SW","67","69","69","66","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.042"
"5/30/22 11:30 PM","29.83","72","71","62","73","13.4","65","67","65","99","65","65","1","SW","0.5","4","SW","65","67","67","65","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.006"
"5/31/22 12:00 AM","29.82","72","72","62","73","13.7","65","65","65","99","65","65","0","","0.0","2","SW","65","67","67","65","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.004"
"5/31/22 12:30 AM","29.81","72","72","62","72","13.7","65","65","65","99","65","65","2","S","1.0","6","S","65","67","67","64","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.004","0.000"
"5/31/22 1:00 AM","29.81","71","72","62","72","13.7","66","66","65","97","65","65","3","S","1.5","6","S","66","68","68","65","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.019"
"5/31/22 1:30 AM","29.80","71","72","62","72","13.7","66","66","66","95","65","65","0","","0.0","3","SSW","66","68","68","65","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.021"
"5/31/22 2:00 AM","29.79","71","73","62","72","13.9","66","66","66","97","65","65","1","NW","0.5","7","NW","66","67","67","65","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.010"
"5/31/22 2:30 AM","29.78","71","73","62","72","13.9","66","66","65","96","64","65","2","WNW","1.0","7","NW","66","67","67","65","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.012"
"5/31/22 3:00 AM","29.77","71","73","62","72","13.9","65","67","65","97","64","65","1","WNW","0.5","4","WNW","65","67","67","64","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.006"
"5/31/22 3:30 AM","29.77","71","73","62","72","13.9","66","66","65","95","64","65","1","WNW","0.5","4","WNW","66","67","67","65","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.015"
"5/31/22 4:00 AM","29.78","71","73","62","71","13.9","65","66","65","97","64","65","1","SSW","0.5","6","S","65","67","67","64","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.006"
"5/31/22 4:30 AM","29.79","71","74","62","72","14.2","67","67","65","92","64","65","2","S","1.0","5","S","67","68","68","66","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.033"
"5/31/22 5:00 AM","29.79","71","74","62","71","14.2","65","67","65","96","64","64","1","NNE","0.5","5","NNE","65","67","67","64","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.004"
"5/31/22 5:30 AM","29.81","70","74","62","71","14.2","65","65","65","96","64","64","1","WNW","0.5","3","WNW","65","67","67","64","0.00","0.00","5","0.22","16","0.00","0","0.0","0","0.000","0.004"
"5/31/22 6:00 AM","29.83","71","74","62","71","14.2","66","66","65","96","64","65","2","S","1.0","4","S","66","67","67","65","0.00","0.00","31","1.33","49","0.00","0","0.0","0","0.000","0.010"
"5/31/22 6:30 AM","29.82","72","74","63","72","14.2","67","67","66","94","66","66","1","S","0.5","3","S","67","69","69","71","0.00","0.00","90","3.87","148","0.00","0","0.0","0","0.000","0.048"
"5/31/22 7:00 AM","29.84","73","75","65","75","14.4","71","71","67","92","68","69","0","","0.0","3","ENE","71","73","73","79","0.00","0.00","207","8.91","271","0.00","0","0.0","0","0.000","0.123"
"5/31/22 7:30 AM","29.83","76","74","67","77","14.0","74","74","71","90","71","72","1","NE","0.5","3","ENE","74","76","76","85","0.00","0.00","325","13.98","450","0.00","0","0.1","1","0.000","0.192"
"5/31/22 8:00 AM","29.83","78","74","69","80","14.0","75","75","74","90","72","73","2","NE","1.0","4","ENE","75","78","78","88","0.00","0.00","442","19.02","536","0.01","2","0.3","3","0.000","0.210"
"5/31/22 8:30 AM","29.82","80","74","71","85","13.9","76","76","75","84","70","72","2","NE","1.0","8","ENE","76","78","78","89","0.00","0.00","577","24.82","624","0.00","4","0.8","4","0.000","0.219"
"5/31/22 9:00 AM","29.82","82","73","73","88","13.6","79","79","76","82","73","75","2","NE","1.0","7","NE","79","84","84","95","0.00","0.00","670","28.82","710","0.01","5","1.1","6","0.000","0.300"
"5/31/22 9:30 AM","29.81","84","71","74","92","12.9","80","81","80","71","70","72","3","NNE","1.5","7","ENE","80","84","84","95","0.00","0.00","744","32.01","780","0.00","7","1.5","8","0.000","0.319"
"5/31/22 10:00 AM","29.81","87","69","75","97","12.4","82","82","80","72","72","74","3","NE","1.5","8","NE","82","86","86","98","0.00","0.00","821","35.32","851","0.02","9","1.9","10","0.000","0.346"
"5/31/22 10:30 AM","29.79","89","67","76","101","11.9","81","82","80","77","73","75","5","NE","2.5","11","E","81","87","87","98","0.00","0.00","881","37.90","919","0.00","11","2.3","12","0.000","0.335"
"5/31/22 11:00 AM","29.79","90","65","77","104","11.4","83","83","81","74","73","75","6","NE","3.0","12","N","83","89","89","101","0.00","0.00","806","34.68","1097","0.02","12","2.6","13","0.000","0.367"
"5/31/22 11:30 AM","29.78","91","63","77","105","11.1","80","83","80","78","72","74","6","NE","3.0","13","NNE","80","84","84","94","0.00","0.00","577","24.82","1192","0.00","8","1.7","14","0.000","0.304"
"5/31/22 12:00 PM","29.77","90","62","75","102","10.9","78","80","77","83","73","74","5","NE","2.5","13","NE","78","82","82","87","0.00","0.00","265","11.40","420","0.01","4","0.9","14","0.000","0.273"
"5/31/22 12:30 PM","29.75","92","62","77","106","10.9","79","82","78","79","72","73","6","NE","3.0","13","NE","79","83","83","94","0.00","0.00","705","30.33","1227","0.00","8","1.8","13","0.000","0.290"
"5/31/22 1:00 PM","29.74","92","61","77","105","10.8","77","80","77","79","70","72","3","NE","1.5","10","E","77","80","80","85","0.00","0.00","294","12.65","494","0.01","3","0.7","6","0.000","0.256"
"5/31/22 1:30 PM","29.73","90","61","75","100","10.8","76","77","75","86","71","72","3","SE","1.5","8","SE","76","78","78","80","0.03","2.02","133","5.72","287","0.00","0","0.1","2","0.000","0.219"
"5/31/22 2:00 PM","29.73","87","62","72","94","11.0","71","76","71","94","69","70","3","SSE","1.5","13","SE","71","73","73","73","0.23","2.02","53","2.28","97","0.00","0","0.0","0","0.000","0.123"
"5/31/22 2:30 PM","29.74","82","64","68","84","11.5","68","71","68","92","65","66","10","S","5.0","17","S","66","69","67","66","0.31","2.23","25","1.08","37","0.00","0","0.0","0","0.000","0.054"
"5/31/22 3:00 PM","29.74","78","65","65","79","11.8","68","68","68","92","66","67","9","S","4.5","13","SE","67","70","69","68","0.06","1.01","26","1.12","32","0.00","0","0.0","0","0.000","0.071"
"5/31/22 3:30 PM","29.74","78","66","65","79","12.0","68","69","68","92","66","67","5","SSE","2.5","11","S","68","70","70","70","0.06","0.32","44","1.89","53","0.00","0","0.0","0","0.000","0.071"
"5/31/22 4:00 PM","29.74","77","66","65","79","12.0","68","68","68","93","66","66","5","SSE","2.5","9","SE","68","70","70","70","0.01","0.14","54","2.32","69","0.00","0","0.0","0","0.000","0.062"
"5/31/22 4:30 PM","29.75","77","67","65","78","12.2","68","68","68","94","66","67","4","S","2.0","8","SSE","68","70","70","70","0.03","0.08","52","2.24","70","0.00","0","0.0","0","0.000","0.058"
"5/31/22 5:00 PM","29.74","76","67","65","78","12.2","67","68","67","98","66","66","2","W","1.0","5","W","67","69","69","69","0.00","0.00","21","0.90","32","0.00","0","0.0","0","0.000","0.040"
"5/31/22 5:30 PM","29.74","76","68","64","77","12.5","67","67","67","99","67","67","1","W","0.5","4","W","67","69","69","67","0.00","0.00","10","0.43","14","0.00","0","0.0","0","0.000","0.038"
"5/31/22 6:00 PM","29.75","75","68","64","76","12.5","66","67","66","99","66","66","2","NNE","1.0","8","W","66","69","69","67","0.02","0.00","1","0.04","7","0.00","0","0.0","0","0.000","0.031"
"5/31/22 6:30 PM","29.77","75","69","64","76","12.8","68","68","66","92","65","66","3","SW","1.5","8","WSW","68","69","69","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.054"
"5/31/22 7:00 PM","29.78","74","69","63","75","12.8","68","68","68","93","66","66","2","SW","1.0","7","SW","68","70","70","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.058"
"5/31/22 7:30 PM","29.79","74","69","63","75","12.8","68","69","67","94","66","66","2","SW","1.0","6","SSW","68","69","69","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.052"
"5/31/22 8:00 PM","29.79","74","70","63","75","13.0","67","67","67","94","66","66","3","SSE","1.5","5","SSE","67","69","69","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.050"
"5/31/22 8:30 PM","29.81","73","70","63","74","13.0","68","68","67","94","66","66","1","SSE","0.5","3","SSE","68","69","69","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.052"
"5/31/22 9:00 PM","29.81","73","70","63","74","13.0","68","68","67","93","66","66","1","SSE","0.5","3","SSE","68","70","70","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.056"
"5/31/22 9:30 PM","29.82","73","70","63","74","13.0","68","68","68","92","65","66","1","SSW","0.5","5","SSE","68","70","70","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.060"
"5/31/22 10:00 PM","29.83","73","71","63","74","13.3","67","68","67","94","66","66","1","W","0.5","5","SE","67","69","69","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.050"
"5/31/22 10:30 PM","29.83","73","71","63","74","13.3","68","68","67","92","65","66","2","S","1.0","4","S","68","70","70","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.060"
"5/31/22 11:00 PM","29.82","73","71","63","74","13.3","68","68","67","94","66","66","2","S","1.0","5","NNW","68","70","70","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.056"
"5/31/22 11:30 PM","29.81","73","71","63","74","13.3","66","68","66","96","65","66","1","NNW","0.5","6","NNE","66","68","68","66","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.029"
"6/1/22 12:00 AM","29.81","72","71","62","73","13.4","66","66","66","97","65","65","1","NNE","0.5","5","S","66","68","68","66","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.023"
"6/1/22 12:30 AM","29.80","72","72","63","73","13.7","67","67","66","96","66","66","5","SSW","2.5","7","SSW","67","69","69","66","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.035"
"6/1/22 1:00 AM","29.79","72","72","63","73","13.7","68","68","67","93","65","66","2","SW","1.0","7","SSW","68","69","69","67","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.052"
"6/1/22 1:30 AM","29.79","72","72","62","73","13.7","67","68","67","94","65","66","0","","0.0","3","SW","67","69","69","66","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.042"
"6/1/22 2:00 AM","29.79","72","72","62","72","13.7","67","67","67","95","65","66","1","SW","0.5","4","SW","67","68","68","66","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.035"
"6/1/22 2:30 AM","29.78","72","73","63","73","13.9","67","67","67","94","65","66","2","S","1.0","5","S","67","69","69","66","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.040"
"6/1/22 3:00 AM","29.78","71","73","62","72","13.9","67","67","66","95","65","66","1","S","0.5","3","S","67","68","68","66","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.033"
"6/1/22 3:30 AM","29.78","71","73","62","72","13.9","67","67","66","94","65","65","0","","0.0","4","SSE","67","68","68","66","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.000","0.033"
